name,description,url,mistral_nemo_response,llama32_response,gemma2_response
Haute-Savoie. Fin de l’ADSL à partir de 2026 : comment faire pour rester connecté,"Orange va définitivement couper son réseau de cuivre, signifiant la fin de l’ADSL qu’importe le fournisseur d’accès, au profit de la fibre optique, mais aussi du réseau téléphonique via la prise en T. Une opération qui s’échelonnera de janvier 2025 à 2030. Première échéance pour la Haute-Savoie en 2026.",https://www.ledauphine.com/economie/2024/10/24/fin-de-l-adsl-a-partir-de-2026-comment-faire-pour-rester-connecte,Oui,Non.,Oui
"«Dans les télécoms, les investissements ne sont pas rentables», affirme Christel Heydemann, directrice générale d'Orange","À la manœuvre sur la 5G, l'IA et la cybersécurité, la directrice générale d'Orange Christel Heydemann appelle à un cadre unique européen pour permettre le développement des réseaux de télécoms. L'Usine Nouvelle – Qu'avez-vous appris des jeux Olympiques de Paris, dont Orange a […] Lire l'article",http://www.usinenouvelle.com/article/dans-les-telecoms-les-investissements-ne-sont-pas-rentables-affirme-christel-heydemann-directrice-generale-d-orange.N2220146,Oui,Non,Oui
Orange poursuit l’activation de son réseau 5G en Meurthe-et-Moselle,,https://www.lejournaldesentreprises.com/breve/orange-poursuit-lactivation-de-son-reseau-5g-en-meurthe-et-moselle-2105988,Non,Non,Oui
192.168.1.1 : accéder à l’interface de sa box Internet facilement,"Chaque box Internet a une interface administrateur pour accéder à des paramètres avancés de son réseau et sa connexion. Les modalités d'accès changent selon que l'on parle d'une Live d'Orange, d'une Freebox de Free, d'une Bbox de Bouygues ou d'une box SFR.",https://www.numerama.com/tech/1236354-192-168-1-1-acceder-a-linterface-de-sa-box-internet-facilement.html,Non,Non.,Non
"« Sans nous, pas de son, pas d’image » : grâce à lui, les cérémonies des JO ont eu du réseau télécom","Depuis son retour de Paris, il n’a toujours pas atterri. Originaire de Divatte-sur-Loire (Loire-Atlantique), Damien Feuillat, ingénieur chez Orange, a piloté les opérations pour les deux cérémonies d’ouverture des Jeux olympiques et paralympiques. Grâce à ses équipes, les connexions au réseau ont fonctionné : la sécurité et les shows ont pu être assurés.",https://www.ouest-france.fr/jeux-olympiques/sans-nous-pas-de-son-pas-dimage-grace-a-lui-les-ceremonies-des-jo-ont-eu-du-reseau-telecom-9615fce6-8a31-11ef-a747-441efd5dcd49,Non.,Non.,Oui
Microsoft mise gros sur l'adoption de l'IA générative par les entreprises françaises,"Des agents autonomes - reposant sur l'IA générative - poussent de toute part et s'immiscent silencieusement dans tous les services des entreprises. C'est la nouvelle obsession de Microsoft. Mirage ou réalité ? Les premiers cas d'usage présentés par Clarins, Doctolib, L'Institut Curie ou encore Orange semblent prometteurs. A en croire […] Lire l'article",http://www.usinenouvelle.comhttps://www.usine-digitale.fr/article/microsoft-mise-gros-sur-l-adoption-de-l-ia-generative-par-les-entreprises-francaises.N2220945,Non.,Non.,Oui
Microsoft mise gros sur l'adoption de l'IA générative par les entreprises françaises,"Des agents autonomes - reposant sur l'IA générative - poussent de toute part et s'immiscent silencieusement dans tous les services des entreprises. C'est la nouvelle obsession de Microsoft. Mirage ou réalité ? Les premiers cas d'usage présentés par Clarins, Doctolib, L'Institut Curie ou encore Orange semblent prometteurs.",https://www.usine-digitale.fr/article/microsoft-mise-gros-sur-l-adoption-de-l-ia-generative-par-les-entreprises-francaises.N2220945,Non,Non.,Oui
Plus de 80 000 clients d’Orange touchés par une panne internet et téléphone dans la région de Lille,"Ce mardi 22 octobre, 80 000 clients de l’opérateur Orange ont été touchés par une panne internet et téléphone en raison de coupures de câbles. Le service a depuis été rétabli.",https://www.ouest-france.fr/high-tech/orange/plus-de-80-000-clients-dorange-touches-par-une-panne-internet-et-telephone-dans-la-region-de-lille-b5184db0-907b-11ef-9c0a-0d32f1fd8b7b,Non,Non.,Oui
"Orange : 80.000 personnes sans téléphone ni internet dans le Pas-de-Calais, à cause d’une panne","Certains services d'urgence peuvent être perturbés, a fait savoir l'opérateur sur X, appelant les usagers à réitérer leur appel ou composer le 112 en cas de problème.",https://www.lefigaro.fr/societes/orange-80-000-personnes-sans-telephone-ni-internet-dans-le-pas-de-calais-a-cause-d-une-panne-20241022,Non,Non.,Oui
"Pas-de-Calais : Fixes, mobiles, Internet, urgences… Le réseau Orange en panne jusqu’à mercredi après-midi",,https://www.20minutes.fr/lille/4117005-20241022-calais-fixes-mobiles-internet-urgences-reseau-orange-panne-jusqu-mercredi-apres-midi,Non,Non.,Oui
Arras: une coupure du réseau téléphonique et internet d'Orange perturbe les communications,La préfecture du Pas-de-Calais signale ce mardi 22 octobre depuis 11 heures qu'une coupure du réseau téléphonique et internet d'Orange affecte la région d'Arras.,https://www.bfmtv.com/grand-lille/arras-une-coupure-du-reseau-telephonique-et-internet-d-orange-perturbe-les-communications_AN-202410220398.html,Non,Non.,Oui
YouPrice / Sosh : qui propose les meilleures offres sur le réseau mobile Orange ?,"Sosh et YouPrice sont les deux seuls opérateurs, en dehors d'Orange lui-même, à utiliser le réseau Orange. Nous allons voir lequel d'entre eux offre les meilleures options.",https://www.generation-nt.com/actualites/forfait-mobile-reseau-orange-sosh-youprice-5g-2051763,Non.,Non.,Oui
"Vite fait, bien fait : les privatisations peuvent rapporter gros","Orange, FDJ, Renault, ADP, Engie, La Poste... L’urgence impose de changer de paradigme dans la gestion des participations de l’Etat",https://www.agefi.fr/news/entreprises/vite-fait-bien-fait-les-privatisations-peuvent-rapporter-gros,Non,Non.,Oui
Orange lance la nouvelle box 5G+ Home pour un internet rapide sans fibre,"Vous habitez dans une zone mal desservie par la fibre ? Vous en avez marre des débits poussifs de l'ADSL ? Et vous souhaitez bénéficier des services d'Orange ? Découvrez la nouvelle box 5G+ Home, la solution idéale pour une connexion rapide et fiable.",https://www.generation-nt.com/actualites/box-internet-5g-bouygues-telecom-orange-5g-home-sfr-2051638,Non,Non,Oui
"La semaine prochaine, la santé de l'économie se lira dans les résultats d'entreprises et les PMI","Les publications de L'Oréal, Mercedes, Tesla, Carrefour, Renault, Accor ou encore Orange sont attendues.",https://www.agefi.fr/news/economie-marches/la-semaine-prochaine-la-sante-de-leconomie-se-lira-dans-les-resultats-dentreprises-et-les-pmi,Non,Non.,Oui
Bouygues et Orange désemparés face au forfait fracassant de cet opérateur 💥,Vous n'êtes pas pleinement satisfait par votre forfait actuel ? Vous cherchez en vain une nouvelle offre capable de répondre le mieux à vos besoins ? Voici une proposition pertinente à prendre en considération.,https://www.presse-citron.net/?p=630023,Non,Non.,Oui
"En cédant à la mise en demeure d'Orange, Xavier Niel a-t-il fini de ""foutre le bordel"" ?","Entre Orange et Free, rien ne va plus. Lorsque Xavier Niel sort un livre dont la couverture s'inspire largement du logo de l'opérateur et lance un site Web parodique pour générer des logos similaires, Orange riposte avec une mise en demeure.",https://www.clubic.com/actualite-540917-en-cedant-a-la-mise-en-demeure-d-orange-xavier-niel-a-t-il-fini-de-foutre-le-bordel.html,Non,Non.,Oui
Xavier Niel sommé par Orange d’arrêter son générateur de mèmes,"Orange a mis en demeure Free après que son patron, Xavier Niel, a lancé un générateur permettant aux internautes de décliner à leur guise son fameux ""Carré Orange"" avec les mots de leur choix.  ",https://www.bfmtv.com/tech/actualites/telecoms/xavier-niel-somme-par-orange-d-arreter-son-generateur-de-memes_AV-202410180493.html,Oui,Non.,Oui
Orange met en demeure Xavier Niel et Free qui se moquent de son logo,"La couverture du livre de Xavier Niel est une parodie du logo carré d'Orange, clin d'œil la concurrence féroce entre Free et l'opérateur historique. Par goût de la provocation, le milliardaire a aussi créé « Bordel Generator », un site pour créer sa propre version du logo.",https://www.numerama.com/tech/1828334-orange-met-en-demeure-xavier-niel-et-free-qui-se-moquent-de-son-logo.html,Non,Non.,Oui
Vaucluse. Quand le GIGN s'entraîne à déloger des terroristes lors d'un exercice fictif de prise d'otages,"Un scénario catastrophe, digne d’un film d’action, se joue au cinéma Le Capitole, au Pontet. Nous sommes le matin du 17 octobre, quand une menace s’engouffre dans le bâtiment. Des figurants tiennent les rôles les terroristes, d’autres sont déguisés en victimes couvertes d’un faux sang et d’autres sont là pour les neutraliser. La compagnie de gendarmerie d’Avignon intervient en première ligne, suivie par des effectifs du groupement de Vaucluse et des unités d’élite de l’antenne GIGN (groupe d’intervention de la gendarmerie nationale) d’Orange.",https://www.ledauphine.com/faits-divers-justice/2024/10/18/un-exercice-avec-le-gign-digne-d-un-film-d-action-au-cinema-le-capitole,Non.,Non,Non
Vaucluse. Un mineur isolé arrêté pour trafic de stupéfiants à Orange,"Ce mercredi 16 octobre au soir, aux alentours de 20h30, lors d’une opération conjointe, les effectifs de la police municipale et de la police nationale d’Orange ont interpellé un individu se livrant à du trafic de stupéfiants.",https://www.ledauphine.com/faits-divers-justice/2024/10/17/un-mineur-isole-arrete-pour-trafic-de-stupefiants-a-orange,Non.,Non.,Non
Vaucluse. Tuerie de masse et prise d’otages fictives avec le GIGN dans un cinéma,"Un exercice ‘‘tuerie de masse’’, avec une prise d’otages fictive, est organisé le matin du 17 octobre, dans le cinéma Le Capitole My Cinewest au Pontet. Des unités du groupement de gendarmerie du Vaucluse, l’antenne GIGN (groupe d’intervention de la gendarmerie nationale) d’Orange et les pompiers y participent.",https://www.ledauphine.com/faits-divers-justice/2024/10/17/tuerie-de-masse-et-prise-d-otages-fictives-avec-le-gign-dans-un-cinema,Non,Non.,Non
Vidéo. Exercice “tuerie de masse” dans un cinéma du Vaucluse : « Chaque seconde est une vie de sauvée »,"Un exercice ‘‘tuerie de masse’’, auquel s’ajoute une prise d’otages, a été organisé ce jeudi 17 octobre dans le cinéma Le Capitole, au Pontet. Tout commence vers 8 heures quand un gendarme jouant le rôle d’un témoin compose le 17 pour signaler des cris et des tirs. Le dispositif monte en puissance avec l’engagement des forces du groupement de Vaucluse puis de l’antenne GIGN (groupe d’intervention de la gendarmerie nationale) d’Orange. Une fois le cinéma encerclé et les premiers militaires à l’intérieur, deux hélicoptères arrivent dans le ciel avec les troupes d’élite de la gendarmerie. Un ‘‘terroriste’’ est neutralisé…",https://www.ledauphine.com/faits-divers-justice/2024/10/17/un-exercice-tuerie-de-masse-dans-un-cinema-chaque-seconde-est-une-vie-de-sauvee,Non,Non.,Non
La filiale espagnole d'Orange continue de s’alléger,MasOrange s’apprêterait à céder sa participation dans l’entreprise d’exploitation de réseau fibre qu’elle a créée en juillet avec Vodafone Espagne.,https://www.agefi.fr/news/entreprises/la-filiale-espagnole-dorange-continue-de-salleger,Oui,Non,Oui
"Avec la 5G+, les opérateurs cherchent à convaincre les déçus de la 5G",Free et Orange ont lancé depuis plusieurs jours une 5G avec en promesse de meilleurs débits et une latence au minimum. De quoi convaincre les abonnés?,https://www.bfmtv.com/tech/actualites/telecoms/avec-la-5g-les-operateurs-cherchent-a-convaincre-les-decus-de-la-5g_AD-202410160377.html,Non.,Non.,Oui
Sosh a discrètement changé son forfait 5G,"Sosh a fait évoluer son forfait 5G. La filiale d'Orange indique toujours proposer 140 Go de données en 5G à ses nouveaux clients, mais propose en réalité 200 Go pour le même prix en migration. Une nouvelle grille tarifaire pourrait bientôt être proposée.",https://www.numerama.com/tech/1825360-sosh-a-discretement-change-son-forfait-5g.html,Oui,Non.,Oui
"Jusqu'à 1 Gbit/s : la nouvelle box Orange 5G+ a tout pour séduire les naufragés de l'ADSL, mais il y a un hic...","Orange a commercialisé, le 10 octobre, la nouvelle version de sa box 5G+ Home, qui permet de se passer d'une box internet traditionnelle. Si les débits s'envolent, tout le monde ne peut pas encore en profiter, loin de là.",https://www.clubic.com/actualite-540320-jusqu-a-1-gbit-s-la-nouvelle-box-orange-5g-a-tout-pour-seduire-les-naufrages-de-l-adsl-mais-il-y-a-un-hic.html,Oui,Non,Oui
Supercalculateur « IA militaire » : l'Etat prêt à aider Atos à devenir compétitif,"Plus cher et moins performant sur le plan technique notamment, Atos a perdu une compétition à la loyale face à Hewlett-Packard et Orange, selon nos informations. En revanche, le ministère des Armées, conscient des lacunes rédhibitoires du groupe français en matière de supercalculateur « IA militaire » va rapidement lui proposer une feuille de route industrielle et technologique pour qu'il devienne compétitif. Et donner à la France, une souveraineté dans ce domaine.",https://www.latribune.fr/entreprises-finance/industrie/aeronautique-defense/supercalculateur-ia-militaire-l-etat-pret-a-aider-atos-a-devenir-competitif-1008732.html,Oui,Non.,Oui
"Sosh augmente les débits de sa fibre, et reste l’une des offres les plus abordables du marché","[Deal du jour] Si vous souhaitez économiser sur votre abonnement fibre, Sosh, l’opérateur low cost d’Orange, propose un abonnement au bon rapport qualité prix, surtout depuis que l'opérateur a augmenté ses débits.",https://www.numerama.com/tech/1824552-sosh-augmente-les-debits-de-sa-fibre-et-reste-lune-des-offres-les-plus-abordables-du-marche.html,Non,Non.,Oui
Un homme en cavale du centre pénitentiaire de Nice interpellé à Orange,"Un homme en semi-liberté recherché pour évasion du centre pénitentiaire de Nice a été interpellé ce vendredi 11 octobre à Orange (Vaucluse). Il a été présenté devant le parquet de Carpentras, en vue de son incarcération dans le Vaucluse, avant de retourner dans les Alpes-Maritimes.",https://www.francebleu.fr/infos/faits-divers-justice/un-homme-en-cavale-du-centre-penitentiaire-de-nice-interpelle-a-orange-2376256,Non,Non,Non
"Festival d'annonces chez Orange : débits Livebox qui explosent, streaming à prix cassé et nouveau forfait 5G, c'est la fête","Orange bouscule ses offres internet : débits ultra-rapides, streaming à prix cassés et avantages familiaux inédits. L'opérateur historique veut séduire les foyers connectés.",https://www.clubic.com/actualite-540314-festival-d-annonces-chez-orange-debits-livebox-qui-explosent-streaming-a-prix-casse-et-nouveau-forfait-5g-c-est-la-fete.html,Non,Non,Oui
"Livebox : Orange augmente les débits, mais pas les prix",Bonne nouvelle du côté des offres Livebox d'Orange en fibre optique. L'opérateur procède à une hausse des débits.,https://www.generation-nt.com/actualites/livebox-fibre-orange-hausse-debits-max-up-2051408,Non.,Non,Oui
"Orange passe sa Livebox 7 en 8 Gbit/s symétrique, comme la Freebox Ultra","Depuis le 10 octobre, Orange indique dans sa brochure tarifaire que l'offre Livebox Max est éligible au 8 Gbps symétrique dans certaines zones. L'opérateur historique rattrape ses concurrents, qui proposent tous cette technologie.",https://www.numerama.com/tech/1823136-orange-passe-sa-livebox-7-en-8-gbit-s-symetriques-comme-la-freebox-ultra.html,Non,Non.,Oui
"L'Etat doit-il vendre ses parts chez Orange, FDJ ou Stellantis ? La réponse de Maroun Eddé à Darmanin",,https://www.lexpress.fr/economie/politique-economique/letat-doit-il-vendre-ses-parts-chez-orange-fdj-ou-stellantis-la-reponse-de-maroun-edde-a-darmanin-777BE5ZEDNCULNNRF46KRCYC7U/,Oui,Non.,Oui
Des activités sportives pour faciliter les échanges entre candidats et recruteurs,"A Orange, une manière originale de faire se rencontrer candidats et recruteurs.",https://www.francebleu.fr/emissions/le-bon-plan-emploi/des-activites-sportives-pour-faciliter-les-echanges-entre-candidats-et-recruteurs-1700810,Non,Oui,Non
Une Livebox 7 d'Orange avec Wi-Fi 7,Deux Livebox 7 d'Orange compatibles Wi-Fi 7 vont être lancées en Espagne. C'est l'expectative pour la Livebox 7 (ou une nouvelle Livebox) en France.,https://www.generation-nt.com/actualites/livebox-wifi-7-orange-espagne-france-2051328,Oui,Non.,Oui
"Du Wi-Fi 7 enfin chez Orange ? Hélas, cette Livebox 7 n'est pas pour vous","Près d'un an après sa sortie en France, Orange prépare le lancement d'une nouvelle Livebox 7, équipée cette fois du Wi-FI 7. Elle sera d'abord commercialisée en Espagne.",https://www.clubic.com/actualite-539903-du-wi-fi-7-enfin-chez-orange-helas-cette-livebox-7-n-est-pas-pour-vous.html,Non,Non,Oui
Justice. Des parafoudres radioactifs ? Enquête après les plaintes d'ex-salariés d'Orange,Des associations et des ex-salariés d'Orange dénoncent une exposition au long cours à des rayonnements ionisants sans évaluation des risques.,https://www.leprogres.fr/faits-divers-justice/2024/10/08/des-parafoudres-radioactifs-enquete-apres-les-plaintes-d-ex-salaries-d-orange,Oui,Non.,Oui
Énergie. Des parafoudres radioactifs ? Enquête après les plaintes d'ex-salariés d'Orange,Des associations et des ex-salariés d'Orange dénoncent une exposition au long cours à des rayonnements ionisants sans évaluation des risques.,https://www.ledauphine.com/faits-divers-justice/2024/10/08/des-parafoudres-radioactifs-enquete-apres-les-plaintes-d-ex-salaries-d-orange,Non,Non.,Oui
Orange prépare deux nouvelles Livebox avec du Wi-Fi 7,"En Espagne, Orange s'apprête à commercialiser deux nouvelles box compatibles Wi-Fi 7, avec ou sans support de la bande 6 GHz. La logique voudrait que ce produit arrive ensuite en France.",https://www.numerama.com/tech/1821868-orange-prepare-deux-nouvelles-livebox-avec-du-wi-fi-7.html,Oui,Non,Oui
Plus que quelques jours pour profiter de deux mois offerts sur la fibre d’Orange,"[Deal du jour] Orange propose une offre intéressante sur ses offres fibre. Avec notamment la Livebox Série Spéciale à moins de 20 € par mois, avec deux mois gratuits. De quoi passer booster sa connexion.",https://www.numerama.com/tech/1820600-plus-que-quelques-jours-pour-profiter-de-deux-mois-offerts-sur-la-fibre-dorange.html,Non,Non,Oui
Christel Heydemann (Orange) : « Les entreprises doivent conserver leur capacité d’investir »,"ENTRETIEN EXCLUSIF - Directrice générale d’Orange depuis deux ans et demi, Christel Heydemann a piloté avec succès le numéro deux des opérateurs européens pendant les JO. Et engrange les résultats de son plan stratégique.",https://www.latribune.fr/technos-medias/telecoms/christel-heydemann-orange-les-entreprises-doivent-conserver-leur-capacite-d-investir-1008149.html,Oui,Non.,Oui
"SFR, le maillon faible des télécoms","Orange et Free progressent, mais SFR, la marque au carré rouge, perd des centaines de milliers de clients. Et Bouygues Telecom ralentit.",https://www.latribune.fr/technos-medias/telecoms/sfr-le-maillon-faible-des-telecoms-1008150.html,Oui,Non.,Oui
Téléphonie-environnement : Asté en lice au concours de collecte de mobiles usagés,"Afin de donner une nouvelle vie aux téléphones et tablettes usagés, Orange et l’Association des Maires de France organisent une collecte nationale, assortie d’un concours.",https://www.ladepeche.fr/2024/10/05/telephonie-environnement-aste-en-lice-au-concours-de-collecte-de-mobiles-usages-12110033.php,Non,Non.,Oui
Savoie. Antenne-relais: bataille juridique entre mairie et habitants à Verrens-Arvey ,"À Verrens-Arvey, l’antenne relais 3G/4G voulue par la mairie, sur une initiative de l’opérateur Orange, verra-t-elle le jour ?",https://www.ledauphine.com/environnement/2024/10/05/antenne-relais-bataille-juridique-entre-mairie-et-habitants-a-verrens-arvey,Non.,Non.,Oui
Cloud souverain : un marché en pleine ébullition,"Offrant le plus haut niveau de sécurité, la qualification SecNumCloud attire un nombre croissant de cloud providers. Après OVHcloud, Cloud Temple et Outscale, la liste des prétendants s'allonge avec Orange, SFR, NumSpot ou Bleu.",https://www.journaldunet.com/cloud/1534437-cloud-souverain-un-marche-en-pleine-ebullition/,Oui,Non.,Oui
